Id;Codigo;NRO.;PARROQUIA LA PASCUA ( BARRIOS);Valor unitario del terreno (Vut) (PETRO/METRO CUADRADO);Valor unitario de construcci¢n (Vuc)(PETRO/METRO CUADRADO);caracterizacion del Sector;;;;;;
1201139;Comercial;139;Nuevos desarrollos residensial - comercial 3 (AV. WILLIAN LARA);0.13;1.9;B;;;;;;
1301001;Industrial Privada;1;ZONACOMERCIAL- INDUSTRIAL 1;0.13;1.5;B;;;;;;
1301002;Industrial Privada;2;ZONACOMERCIAL- INDUSTRIAL 2;0.13;1.5;B;;;;;;
1301003;Industrial Privada;3;ZONACOMERCIAL- INDUSTRIAL 3;0.13;1.5;B;;;;;;
1301004;Industrial Privada;4;ZONACOMERCIAL- INDUSTRIAL PU 6;0.05;1.5;B;;;;;;
1301005;Industrial Privada;5;ZONACOMERCIAL- INDUSTRIAL PU 4;0.13;1.5;B;;;;;;
1401001;Industrial P£blica;1;ZONACOMERCIAL- INDUSTRIAL 1;0.13;1.5;B;;;;;;
1401002;Industrial P£blica;2;ZONACOMERCIAL- INDUSTRIAL 2;0.13;1.5;B;;;;;;
1401003;Industrial P£blica;3;ZONACOMERCIAL- INDUSTRIAL 3;0.13;1.5;B;;;;;;
1401004;Industrial P£blica;4;ZONACOMERCIAL- INDUSTRIAL PU 6;0.05;1.5;B;;;;;;
1401005;Industrial P£blica;5;ZONACOMERCIAL- INDUSTRIAL PU 4;0.13;1.5;B;;;;;;
1501001;Hotelera;1;ZONACOMERCIAL- INDUSTRIAL 1;0.13;2.2;B;;;;;;
1501002;Hotelera;2;ZONACOMERCIAL- INDUSTRIAL 2;0.13;2.2;B;;;;;;
1501003;Hotelera;3;ZONACOMERCIAL- INDUSTRIAL PU 1;0.05;1.5;D;;;;;;
1501004;Hotelera;4;ZONACOMERCIAL- INDUSTRIAL PU 3;0.13;2.2;B;;;;;;
1501005;Hotelera;5;ZONACOMERCIAL- INDUSTRIAL PU 5;0.13;1.8;B;;;;;;
1501006;Hotelera;6;ZONACOMERCIAL- INDUSTRIAL PU 6;0.05;2.2;D;;;;;;
1501007;Hotelera;7;Casco Central ;0.16;2.2;A;;;;;;
1501008;Hotelera;8;Vipedi;0.1;1.8;C;;;;;;
1501009;Hotelera;9;La Atascosa ;0.1;1.8;C;;;;;;
1501010;Hotelera;10;Los Olivos I;0.05;1.8;D;;;;;;
1501011;Hotelera;11;Morichal;0.1;1.3;C;;;;;;
